,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud,Date,Time,Age,merch_country,merch_state
237664,4586260000000.0,fraud_Kuhn LLC,shopping_pos,914.68,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,36486cff8ba8bd644db622ed598f54ae,39.691374,-95.726813,1,14/09/2020,23:29,71,United States,Kansas
237667,4586260000000.0,fraud_Auer-West,shopping_net,928.08,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,c3a8e15e7be5760506e4b412535552ba,39.853239,-96.207387,1,14/09/2020,23:29,71,United States,Kansas
237784,4229730000000000.0,fraud_Kilback LLC,grocery_pos,294.39,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,5b91d087d3128022d5a48e425114c43d,37.537964,-84.959098,1,15/09/2020,00:22,34,United States,Kentucky
238491,4229730000000000.0,"fraud_Kerluke, Kertzmann and Wiza",misc_net,886.04,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,26de4cb73bfc118e0b219c8b5c26b4b2,37.586916,-86.07278,1,15/09/2020,06:51,34,United States,Kentucky
240652,4229730000000000.0,fraud_Medhurst PLC,shopping_net,1039.27,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,5f459028083793ada94fe82fd8f7314b,38.417801,-86.534126,1,15/09/2020,22:31,34,United States,Indiana
240694,4229730000000000.0,fraud_Kuhic LLC,shopping_net,968.38,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,0fccd70bac3ad21887bdaad1b1200def,36.890336,-85.445796,1,15/09/2020,22:48,34,United States,Kentucky
240721,4229730000000000.0,"fraud_Kihn, Abernathy and Douglas",shopping_net,829.02,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,089e03b4a035d98d54bd695d7eed2540,38.378874,-86.458232,1,15/09/2020,22:59,34,United States,Indiana
240868,4229730000000000.0,fraud_Volkman-Predovic,shopping_net,989.35,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,1e40e3d059a46f619c4d3eddd0b7ae12,36.982117,-86.620108,1,15/09/2020,23:53,34,United States,Kentucky
240891,3530500000000000.0,fraud_Vandervort-Funk,grocery_pos,281.59,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,0d74614a1e5f60cbac232b234a092f23,34.788907,-118.258097,1,16/09/2020,00:06,61,United States,California
240912,342952000000000.0,"fraud_Reichert, Huels and Hoppe",shopping_net,1071.14,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,0c7a2801be73958d01a2e4c1c96e9be8,42.353304,-73.814537,1,16/09/2020,00:26,37,United States,New York
240921,3530500000000000.0,"fraud_Ferry, Reichel and DuBuque",grocery_net,7.88,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,48023d8c82216df25c9f24aeb635c21d,33.96331,-118.912661,1,16/09/2020,00:37,61,United States,California
241078,342952000000000.0,fraud_Stamm-Witting,shopping_net,833.88,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,f003e39e2460b84ff49a4abce23ab723,42.703154,-73.645821,1,16/09/2020,03:30,37,United States,New York
241079,342952000000000.0,"fraud_Boehm, Predovic and Reinger",misc_pos,871.31,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,08935e641fae6db8644e91cedd6204c0,41.446311,-73.981542,1,16/09/2020,03:31,37,United States,New York
241342,3530500000000000.0,"fraud_Heller, Gutmann and Zieme",grocery_pos,277.62,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,11f32237c017fe2f34b1011f98ec6158,35.431109,-117.100512,1,16/09/2020,08:57,61,United States,California
241370,4229730000000000.0,fraud_Koepp-Witting,grocery_pos,280.98,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,2e9fd4a8f23daa6090f30d406066e121,37.165539,-86.851095,1,16/09/2020,09:44,34,United States,Kentucky
241720,3530500000000000.0,fraud_Lebsack and Sons,misc_net,854.39,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,a604047091aba23cfad6922ed9aa470c,33.708272,-118.106389,1,16/09/2020,15:32,61,United States,California
242018,4229730000000000.0,fraud_Kozey-Boehm,shopping_net,1012.65,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,1990-05-03,b4b19838e7230afbdabf54b4cf2da8d7,38.207278,-86.31347,1,16/09/2020,19:28,34,United States,Indiana
242115,3530500000000000.0,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,969.19,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,175fb6a524da08b6a414a604d5c98180,35.093471,-117.334928,1,16/09/2020,20:58,61,United States,California
242194,3530500000000000.0,fraud_Dach-Nader,misc_net,732.99,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,b0be3a47a500d6bf3c0b3ae238b5f265,34.929289,-117.407429,1,16/09/2020,22:02,61,United States,California
242213,3530500000000000.0,"fraud_Osinski, Ledner and Leuschke",grocery_pos,278.34,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,f60bc4084efe8594939f9509ab86eeaf,33.763984,-118.288594,1,16/09/2020,22:15,61,United States,California
242388,342952000000000.0,fraud_Cole PLC,grocery_pos,362.88,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,156bc1e39b4a6b3385e2b7ce76cd4948,41.838894,-72.888072,1,17/09/2020,00:36,37,United States,Connecticut
242414,30029100000000.0,fraud_Kris-Weimann,misc_net,599.01,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,43dfe780a4b67b05e2dd31ef72c4838f,41.699276,-79.121394,1,17/09/2020,01:01,54,United States,Pennsylvania
242415,342952000000000.0,fraud_Corwin-Gorczany,misc_net,911.2,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,d05e1ae086d3fdd8fe8fa679d6d1a7db,41.281239,-72.940985,1,17/09/2020,01:01,37,United States,Connecticut
242442,342952000000000.0,"fraud_Kuhic, Bins and Pfeffer",shopping_net,881.86,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,357dd0b1e82e8b627b14f55bce9c6930,42.292709,-73.501754,1,17/09/2020,01:29,37,United States,New York
242448,342952000000000.0,fraud_Kiehn-Emmerich,grocery_pos,357.86,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,2661488215a62be7208a3e970849103a,42.795963,-74.216363,1,17/09/2020,01:33,37,United States,New York
242577,3530500000000000.0,fraud_Rutherford-Mertz,grocery_pos,257.23,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,60babb409ea1b3168daf61959c7f89f6,35.332824,-118.369189,1,17/09/2020,03:47,61,United States,California
242587,342952000000000.0,fraud_Goodwin-Nitzsche,grocery_pos,346.12,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,580dc13e5bd2927b6878262a74cd3f5b,41.321631,-73.101142,1,17/09/2020,04:02,37,United States,Connecticut
242771,30029100000000.0,fraud_Kilback LLC,grocery_pos,326.32,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,32eaf4b308bbcc20d254f05580e8d47d,42.263151,-78.595608,1,17/09/2020,07:18,54,United States,New York
243321,342952000000000.0,fraud_Mohr Inc,shopping_pos,896.61,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,d066205ad81a53cf64c4d908dc518699,42.650337,-72.901629,1,17/09/2020,15:21,37,United States,Massachusetts
243919,3530500000000000.0,fraud_Welch Inc,misc_net,898.89,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,3b8295b79c293c0c3dd1f167ea5ed3ed,34.117246,-117.145555,1,17/09/2020,22:41,61,United States,California
243924,30029100000000.0,fraud_Kuphal-Bartoletti,misc_net,750.26,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,2f76ac33f83f936fdac7c7e8d03b872e,43.064857,-78.95769,1,17/09/2020,22:43,54,United States,New York
243935,342952000000000.0,fraud_Little Ltd,kids_pets,21.78,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,dbc4ce9913399492ee7763b09a796e09,42.457812,-74.256011,1,17/09/2020,22:50,37,United States,New York
243950,3530500000000000.0,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,1038.25,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,aea6b4db63ae01a25d6b34e5cd30ac9a,34.287736,-117.297267,1,17/09/2020,23:03,61,United States,California
243966,342952000000000.0,fraud_Mayert Group,shopping_pos,949.38,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,7f20f401255649d194d0221d137786fd,41.996012,-72.66404,1,17/09/2020,23:16,37,United States,Connecticut
243997,3530500000000000.0,"fraud_Langworth, Boehm and Gulgowski",shopping_net,963.73,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,5692deea47542bea73d5c40eada50f6a,35.525013,-117.359532,1,17/09/2020,23:47,61,United States,California
244011,30029100000000.0,fraud_Lynch Ltd,shopping_pos,824.28,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,0b5315d76b41a1fec466a9eed18e2dce,41.389282,-78.312233,1,17/09/2020,23:53,54,United States,Pennsylvania
244170,30029100000000.0,"fraud_Rowe, Batz and Goodwin",grocery_pos,303.68,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,2855658415c53a8be9ac35046fd5ee51,43.036551,-79.22558,1,18/09/2020,02:02,54,Canada,Ontario
244738,30029100000000.0,fraud_Doyle Ltd,grocery_pos,296.0,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,1a7128301951b8de54660a268ec9d708,42.667923,-80.080061,1,18/09/2020,11:37,54,Canada,Ontario
245274,30029100000000.0,"fraud_Kuhic, Bins and Pfeffer",shopping_net,1008.51,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,188389aa90778ce94cc404aaa3dd6764,41.757124,-79.905766,1,18/09/2020,17:03,54,United States,Pennsylvania
245836,30029100000000.0,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1180.79,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,27080de676b15a5188fdac23e0f66b2d,43.009815,-79.199053,1,18/09/2020,23:10,54,Canada,Ontario
245857,30029100000000.0,"fraud_Langworth, Boehm and Gulgowski",shopping_net,841.89,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,2200b20b9a956b7b103c04f6c6f166b0,42.235151,-79.319487,1,18/09/2020,23:22,54,United States,New York
245890,30029100000000.0,fraud_Hudson-Grady,shopping_pos,729.49,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,64e68f665d9bf17f0e2d7d3bc8d29208,42.531011,-78.444906,1,18/09/2020,23:41,54,United States,New York
245895,30029100000000.0,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,980.65,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,0bff0ccd1f0f8decdcc9cb7671e0a6be,42.967723,-79.707603,1,18/09/2020,23:45,54,Canada,Ontario
248661,4570640000000000.0,fraud_Block-Parisian,misc_net,879.72,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,1988-04-09,2b93eb89845134c6cece84a42f35ba6c,28.167018,-81.411815,1,20/09/2020,09:22,36,United States,Florida
250394,4570640000000000.0,"fraud_Ledner, Hartmann and Feest",health_fitness,19.64,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,1988-04-09,63c45cf3b74985e680a203b8b2415f4e,27.945671,-81.375614,1,20/09/2020,22:59,36,United States,Florida
250690,4170690000000000.0,fraud_Bernhard Inc,gas_transport,7.98,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,29aacd807ec15862cae8941bf11384bc,34.909326,-97.858599,1,21/09/2020,01:38,31,United States,Oklahoma
250930,4170690000000000.0,fraud_Bradtke PLC,grocery_pos,307.55,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,6b072e30250b531adc59f520ec822fc8,36.167553,-97.682358,1,21/09/2020,03:57,31,United States,Oklahoma
251279,4170690000000000.0,"fraud_Stehr, Jewess and Schimmel",misc_net,772.07,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,4d069e0e767b3163f62736966d64f6ed,35.600204,-97.061854,1,21/09/2020,07:16,31,United States,Oklahoma
251581,4570640000000000.0,"fraud_Okuneva, Schneider and Rau",shopping_pos,853.68,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,1988-04-09,74b601fa4720f7bc0e4f934ba6c2cfcb,28.646025,-80.809582,1,21/09/2020,10:02,36,United States,Florida
253587,4170690000000000.0,fraud_Cummerata-Hilpert,entertainment,503.49,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,ef63ec00b71893c8644add982136add3,34.886983,-98.373714,1,21/09/2020,23:23,31,United States,Oklahoma
253809,60487002085.0,"fraud_Moen, Reinger and Murphy",grocery_pos,337.39,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,38861bbf9de67f628ca2ba7358f1ea68,31.61911,-90.997411,1,22/09/2020,01:11,52,United States,Mississippi
253829,4170690000000000.0,"fraud_Lind, Huel and McClure",gas_transport,9.04,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,5dfbcc55744f81f8b1c59e914c82055f,36.524317,-96.82184,1,22/09/2020,01:25,31,United States,Oklahoma
253900,60487002085.0,fraud_Cole PLC,grocery_pos,292.54,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,71947f267041e351822e89a4d10c9ee4,33.160571,-89.314908,1,22/09/2020,02:02,52,United States,Mississippi
253916,4170690000000000.0,"fraud_Moen, Reinger and Murphy",grocery_pos,245.89,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,34f97da3fe509a3403d056d964cfe750,34.761584,-98.315622,1,22/09/2020,02:14,31,United States,Oklahoma
255297,4170690000000000.0,fraud_Bashirian Group,shopping_net,1117.27,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,f425b53d73acfaa503ce609828ad859e,35.043195,-97.20962,1,22/09/2020,14:35,31,United States,Oklahoma
256284,4170690000000000.0,fraud_Kuhn LLC,misc_net,774.22,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,d580d0784795feeb5db7e2b25f77630e,35.900846,-97.308735,1,22/09/2020,21:20,31,United States,Oklahoma
256535,60487002085.0,fraud_Kuhic LLC,shopping_net,995.97,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,b1fe651e13056a1cd16bc231cdcbfdab,33.1926,-89.908567,1,22/09/2020,22:39,52,United States,Mississippi
256612,60487002085.0,fraud_Schmidt and Sons,shopping_net,1062.66,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,bf12012b33adb9dd3f6ae3607c06f3b7,31.426241,-90.281855,1,22/09/2020,23:10,52,United States,Mississippi
256626,4170690000000000.0,"fraud_Welch, Rath and Koepp",entertainment,467.84,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,658273c7693593c31ba6fb00d00bfae8,36.379999,-97.934141,1,22/09/2020,23:13,31,United States,Oklahoma
256631,4170690000000000.0,"fraud_Hayes, Marquardt and Dibbert",misc_net,828.4,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,8426fbdee0b7c8dd0d4f351ff46e17c0,36.138233,-96.798634,1,22/09/2020,23:14,31,United States,Oklahoma
256714,60487002085.0,fraud_Kassulke PLC,shopping_net,1113.08,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,fa7d8e9ced90cda4144eb3b47beacc4e,33.028446,-90.258039,1,22/09/2020,23:47,52,United States,Mississippi
256862,30270400000000.0,fraud_Cartwright-Harris,grocery_pos,360.71,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,11e8618ca7582746d0f78da254a75268,39.733064,-91.87243,1,23/09/2020,02:20,52,United States,Missouri
256873,676369000000.0,"fraud_Greenholt, Jacobi and Gleason",gas_transport,9.34,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,d27d3fbc162cdb55f124209275075412,42.971903,-83.645497,1,23/09/2020,02:38,50,United States,Michigan
256888,60487002085.0,fraud_McGlynn-Heathcote,misc_net,740.62,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,cb6f813488269ee242718106acaca019,31.974365,-89.920354,1,23/09/2020,02:56,52,United States,Mississippi
256926,676369000000.0,fraud_Bauch-Raynor,grocery_pos,311.85,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,3c8af88e7b954ba8727447609a423b6f,42.455382,-82.862173,1,23/09/2020,03:42,50,United States,Michigan
256937,676369000000.0,"fraud_Goldner, Kovacek and Abbott",grocery_pos,285.38,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,26545a0fcf6df83c41d5d2182e57a156,42.695675,-84.019773,1,23/09/2020,03:55,50,United States,Michigan
257242,60487002085.0,fraud_Parisian and Sons,gas_transport,11.19,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,23a6369b67f28768c1839f090a2a2d4b,33.163279,-89.454488,1,23/09/2020,10:12,52,United States,Mississippi
257280,30270400000000.0,"fraud_Zieme, Bode and Dooley",gas_transport,12.54,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,22c3e1ad2bb60270ad4ba87e1d0dcd08,41.505957,-91.489182,1,23/09/2020,11:00,52,United States,Iowa
257810,586101000000.0,fraud_Little Ltd,kids_pets,21.29,Patrick,Bates,M,4481 Maldonado Hollow,Kirkwood,NY,13795,42.0695,-75.7967,3800,Advertising account executive,1968-07-06,30b831494e768b4ec8a1689f2f067c7d,41.626334,-75.512342,1,23/09/2020,18:34,56,United States,Pennsylvania
257885,676369000000.0,"fraud_Monahan, Bogisich and Ledner",misc_pos,7.23,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,791e82f1b7aa140a96d43da643acd65e,41.499752,-84.166871,1,23/09/2020,19:28,50,United States,Ohio
258083,60487002085.0,fraud_Volkman-Predovic,shopping_net,1057.35,David,White,M,66234 Hall Lock Suite 758,Jackson,MS,39211,32.3739,-90.1293,233060,"Horticulturist, commercial",1972-08-15,8fb4a94b1016de03a7e9d475f0070673,32.205139,-90.731305,1,23/09/2020,22:03,52,United States,Mississippi
258088,586101000000.0,"fraud_Rodriguez, Yost and Jenkins",misc_net,737.94,Patrick,Bates,M,4481 Maldonado Hollow,Kirkwood,NY,13795,42.0695,-75.7967,3800,Advertising account executive,1968-07-06,71695d04e743d9f0b5798dee0de99f6f,41.150118,-75.000364,1,23/09/2020,22:09,56,United States,Pennsylvania
258100,586101000000.0,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,1090.31,Patrick,Bates,M,4481 Maldonado Hollow,Kirkwood,NY,13795,42.0695,-75.7967,3800,Advertising account executive,1968-07-06,ef4117135634b64963f0c18e9d9d60b6,41.145569,-75.704756,1,23/09/2020,22:16,56,United States,Pennsylvania
258142,30270400000000.0,fraud_Skiles LLC,home,258.37,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,4ba994c6450954b7d35f207be0646e44,39.748629,-90.81943,1,23/09/2020,22:51,52,United States,Illinois
258150,30270400000000.0,fraud_Bednar PLC,kids_pets,19.81,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,55662fa884952701ea4806107328110e,41.541552,-91.292645,1,23/09/2020,22:54,52,United States,Iowa
258178,586101000000.0,fraud_Kuhic LLC,shopping_net,966.79,Patrick,Bates,M,4481 Maldonado Hollow,Kirkwood,NY,13795,42.0695,-75.7967,3800,Advertising account executive,1968-07-06,953042aeb138dedda55fc5fc3767bd1c,41.946847,-74.95278,1,23/09/2020,23:11,56,United States,New York
258185,30270400000000.0,fraud_Langworth LLC,personal_care,18.68,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,79f3b6ad221dbdad992b987f9f084dd5,40.551606,-91.420352,1,23/09/2020,23:17,52,United States,Iowa
258200,586101000000.0,"fraud_Stehr, Jewess and Schimmel",misc_net,852.95,Patrick,Bates,M,4481 Maldonado Hollow,Kirkwood,NY,13795,42.0695,-75.7967,3800,Advertising account executive,1968-07-06,46e04abee75ae5063ae987c2e9c2659b,41.275619,-75.879368,1,23/09/2020,23:31,56,United States,Pennsylvania
258234,30270400000000.0,fraud_Kris-Padberg,shopping_pos,1083.04,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,c98e747667217c7b3c777f1de57552b9,41.459806,-91.543203,1,23/09/2020,23:54,52,United States,Iowa
258237,586101000000.0,"fraud_Rodriguez, Yost and Jenkins",misc_net,820.97,Patrick,Bates,M,4481 Maldonado Hollow,Kirkwood,NY,13795,42.0695,-75.7967,3800,Advertising account executive,1968-07-06,d3001af82b680e9f0fd7b9e9ed9931e2,41.47287,-74.880759,1,23/09/2020,23:56,56,United States,New York
258241,586101000000.0,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,991.0,Patrick,Bates,M,4481 Maldonado Hollow,Kirkwood,NY,13795,42.0695,-75.7967,3800,Advertising account executive,1968-07-06,dea1fa89d6e883f3ec597efed4010b06,41.802211,-75.655383,1,23/09/2020,23:57,56,United States,Pennsylvania
258249,676369000000.0,fraud_Corwin-Gorczany,misc_net,808.71,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,e198fc32467c0f4a61ff6fe6c030d38b,42.823043,-82.305778,1,24/09/2020,00:07,50,Canada,Ontario
258250,676369000000.0,fraud_O'Keefe-Hudson,grocery_pos,301.37,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,506d96b33a585f7b79ff6d0ffb9c57cd,42.516215,-83.930197,1,24/09/2020,00:10,50,United States,Michigan
258299,30270400000000.0,"fraud_Labadie, Treutel and Bode",shopping_net,1004.38,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,5cc792fddcf3fa7401ab5cf43cd18d28,40.862011,-90.144127,1,24/09/2020,01:08,52,United States,Illinois
258307,4427810000000.0,fraud_Kerluke Inc,misc_net,809.83,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,f442042f8f14ec7cd9d5fddece9b75b2,32.842035,-104.904134,1,24/09/2020,01:14,24,United States,New Mexico
258413,676369000000.0,fraud_O'Keefe-Hudson,grocery_pos,275.59,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,1677a3bb1b519d75c840b0c8b96781f8,42.503394,-83.728467,1,24/09/2020,03:01,50,United States,Michigan
258431,676369000000.0,"fraud_Rippin, Kub and Mann",misc_net,726.23,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1974-12-28,3af958498705961fe7e0c3f4c6ce883f,41.504416,-83.294529,1,24/09/2020,03:17,50,United States,Ohio
